"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2011","Belgium","Total","Age reached during the year","Total","Number","Total","147,377","b"
"2011","Belgium","Total","Age reached during the year","Reporting country","Number","Total","12,345",""
"2011","Belgium","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Belgium","Total","Age reached during the year","Unknown","Number","Total","499",""
"2011","Bulgaria","Total","Age reached during the year","Total","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Bulgaria","Total","Age reached during the year","Unknown","Number","Total",":",""
"2011","Czechia","Total","Age reached during the year","Total","Number","Total","27,114","b"
"2011","Czechia","Total","Age reached during the year","Reporting country","Number","Total","9,328",""
"2011","Czechia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Czechia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Czechia","Total","Age reached during the year","Unknown","Number","Total","9",""
"2011","Denmark","Total","Age reached during the year","Total","Number","Total","52,833",""
"2011","Denmark","Total","Age reached during the year","Reporting country","Number","Total","14,138",""
"2011","Denmark","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Denmark","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Denmark","Total","Age reached during the year","Unknown","Number","Total","470",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Total","Number","Total","489,422",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Reporting country","Number","Total","58,273",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Age reached during the year","Unknown","Number","Total","12,265",""
"2011","Estonia","Total","Age reached during the year","Total","Number","Total","3,709",""
"2011","Estonia","Total","Age reached during the year","Reporting country","Number","Total","1,566",""
"2011","Estonia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Estonia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Estonia","Total","Age reached during the year","Unknown","Number","Total","39",""
"2011","Ireland","Total","Age reached during the year","Total","Number","Total","57,292","b"
"2011","Ireland","Total","Age reached during the year","Reporting country","Number","Total","20,373","b"
"2011","Ireland","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Ireland","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Ireland","Total","Age reached during the year","Unknown","Number","Total","740","b"
"2011","Greece","Total","Age reached during the year","Total","Number","Total","60,089","b"
"2011","Greece","Total","Age reached during the year","Reporting country","Number","Total","24,000",""
"2011","Greece","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Greece","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","Spain","Total","Age reached during the year","Total","Number","Total","371,331",""
"2011","Spain","Total","Age reached during the year","Reporting country","Number","Total","21,564",""
"2011","Spain","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Spain","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Spain","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","France","Total","Age reached during the year","Total","Number","Total","319,816",""
"2011","France","Total","Age reached during the year","Reporting country","Number","Total","81,301",""
"2011","France","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","France","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","France","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","Croatia","Total","Age reached during the year","Total","Number","Total","8,534",""
"2011","Croatia","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2011","Croatia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Croatia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Croatia","Total","Age reached during the year","Unknown","Number","Total",":",""
"2011","Italy","Total","Age reached during the year","Total","Number","Total","385,793",""
"2011","Italy","Total","Age reached during the year","Reporting country","Number","Total","26,701",""
"2011","Italy","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Italy","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Italy","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","Cyprus","Total","Age reached during the year","Total","Number","Total","23,037",""
"2011","Cyprus","Total","Age reached during the year","Reporting country","Number","Total","1,490",""
"2011","Cyprus","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Cyprus","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Cyprus","Total","Age reached during the year","Unknown","Number","Total","25",""
"2011","Latvia","Total","Age reached during the year","Total","Number","Total","10,234",""
"2011","Latvia","Total","Age reached during the year","Reporting country","Number","Total","7,503",""
"2011","Latvia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Latvia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Latvia","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","Lithuania","Total","Age reached during the year","Total","Number","Total","15,685",""
"2011","Lithuania","Total","Age reached during the year","Reporting country","Number","Total","12,801",""
"2011","Lithuania","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Lithuania","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Lithuania","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","Luxembourg","Total","Age reached during the year","Total","Number","Total","20,268",""
"2011","Luxembourg","Total","Age reached during the year","Reporting country","Number","Total","1,242",""
"2011","Luxembourg","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Luxembourg","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Luxembourg","Total","Age reached during the year","Unknown","Number","Total","255",""
"2011","Hungary","Total","Age reached during the year","Total","Number","Total","28,018",""
"2011","Hungary","Total","Age reached during the year","Reporting country","Number","Total","2,924",""
"2011","Hungary","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Hungary","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Hungary","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","Malta","Total","Age reached during the year","Total","Number","Total","5,465",""
"2011","Malta","Total","Age reached during the year","Reporting country","Number","Total","1,348",""
"2011","Malta","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Malta","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Malta","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","Netherlands","Total","Age reached during the year","Total","Number","Total","130,118",""
"2011","Netherlands","Total","Age reached during the year","Reporting country","Number","Total","24,747",""
"2011","Netherlands","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2011","Netherlands","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2011","Netherlands","Total","Age reached during the year","Unknown","Number","Total","0",""
"2011","Austria","Total","Age reached during the year","Total","Number","Total","82,230",""
